ID,Indoor.Total.Illumin.Diff.pct.,Indoor.Total.Illumin.Diff.,Hour.number,Natural.Illuminance.,Outdoor.Sky.Clearness.,Since.DR.Started.,Lighting.Power.Diff.,Lighting.Power.Diff.pct.One.Step.
33,0.354340976,153.1376,17,213.4078148,1.025396924,3,0.315,0
33,0.350826762,275.64768,15,391.9264164,1.00864496,1,0.56,0.7
33,0.4438753,275.64768,16,227.2201205,1.044575535,2,0.56,0
33,0.321984523,153.1376,17,256.8374684,1.323421816,3,0.315,0
33,0.409896501,275.64768,15,278.6987741,1.000995104,1,0.56,0.7
33,0.436956219,275.64768,16,237.0535234,1.000568798,2,0.56,0
33,0.422981326,153.1376,17,143.2754063,1.00312285,3,0.315,0
33,0.322486104,275.64768,15,460.9759173,1.002170189,1,0.56,0.7
33,0.376881311,275.64768,16,337.6088152,1.001828803,2,0.56,0
33,0.327386873,153.1376,17,248.9893013,1.00019814,3,0.315,0
33,0.335160273,275.64768,15,428.6530195,1.003399387,1,0.56,0.7
33,0.446512856,275.64768,16,223.5518524,1.001045503,2,0.56,0
33,0.393597541,153.1376,17,170.3035368,1.002353289,3,0.315,0
33,0.225107207,275.64768,15,830.7349451,1.652345392,1,0.56,0.7
33,0.202520743,275.64768,16,967.301287,2.373001775,2,0.56,0
33,0.172362659,153.1376,17,669.6935759,2.599419683,3,0.315,0
33,0.175867286,275.64768,15,1173.579482,3.061416798,1,0.56,0.7
33,0.173336077,275.64768,16,1196.467501,3.282609072,2,0.56,0
33,0.20898399,153.1376,17,514.0039222,1.662523326,3,0.315,0
33,0.357489411,275.64768,15,377.2829003,1.005807567,1,0.56,0.7
33,0.316775795,275.64768,16,476.3840843,1.273857338,2,0.56,0
33,0.161284772,153.1376,17,730.7177927,3.580195659,3,0.315,0
33,0.324883428,275.64768,15,454.6686335,1.014790573,1,0.56,0.7
33,0.383968347,275.64768,16,324.109275,1.056530414,2,0.56,0
33,0.439121436,153.1376,17,129.9683348,1.016251714,3,0.315,0
33,0.329902461,275.64768,15,441.7605645,1.000320108,1,0.56,0.7
