economy,pc_tmp_low,pc_tmp_high,tmp,lgt,daylt,choice,plug
-3000,-3,3,2,-0.15,68,0,0
4000,0,0,4,0,68,0,0
-950,0,0,4,0,68,1,0
-6900,0,0,-1,-0.55,68,1,0
4000,0,1,0,0,50,1,0
-6800,0,1,-1,-0.7,50,1,0
400,0,-2,-5,0.5,50,1,0
0,-2,3,6,-0.7,50,0,0
-5000,-1,0,4,-0.15,50,0,0
-1000,-2,0,0,0.15,50,1,0
0,0,0,0,0.2,50,0,0
4000,0,-1,-1,-0.2,50,1,0
-6500,0,-1,2,-0.3,40,0,0
5000,3,-2,-4,0,40,0,0
4500,2,-1,-5,-0.35,40,1,0
-1950,1,-2,-5,0,40,0,0
300,3,-2,-3,-0.3,40,0,0
0,0,-1,-3,0.3,40,0,0
6800,2,-2,-1,-0.2,40,1,0
1900,0,3,1,-0.35,40,1,0
0,0,0,-4,0,51,1,0
900,-1,0,4,-0.2,51,0,0
1000,3,-3,-4,0.3,51,1,0
-1800,0,-1,-2,0,51,1,0
9500,0,-1,2,-0.55,51,0,0
900,3,0,-2,-0.2,51,1,0
-50,0,3,3,0.4,51,1,0
4900,1,0,1,0.35,51,1,0
3000,3,-3,-5,0.15,62,0,0
-5000,-1,1,4,-0.35,62,1,0
-1000,0,1,3,0.2,62,1,0
0,0,3,2,0.2,62,0,0
6800,3,-1,-6,-0.15,62,1,0
-3000,-3,1,2,-0.4,62,1,0
1800,0,2,0,-0.4,62,0,0
0,-3,1,5,0.7,62,0,0
500,0,0,-2,0,100,1,0
0,2,0,0,-0.15,100,0,0
3000,-1,3,4,0,100,0,0
-6500,0,0,2,0.2,100,0,0
1500,0,1,0,0,100,0,0
8000,0,-1,-1,-0.5,100,1,0
-8000,-2,1,2,0.7,100,1,0
-500,0,-1,-6,-0.3,100,1,0
0,3,-3,-4,-0.4,60,0,0
6000,0,-1,1,0.35,60,1,0
9950,0,-1,-4,0.55,60,1,0
150,3,-3,-3,-0.2,60,1,0
-4900,0,0,1,-0.15,60,0,0
0,3,0,-4,-0.15,60,0,0
950,0,0,2,0.4,60,1,0
-1950,-2,2,3,-0.7,60,0,0
-1900,0,0,0,0.15,80,1,0
-4500,0,3,1,0,80,1,0
-400,0,1,6,0.4,80,0,0
800,1,-1,-2,-0.4,80,1,0
2000,-3,1,2,-0.55,80,0,0
-50,-3,0,-1,0.15,80,1,0
9000,-2,2,5,-0.5,80,0,0
-4950,0,-3,1,0.7,80,1,0
1000,2,-2,-4,-0.15,78,1,0
-9950,0,0,3,0.3,78,1,0
4950,-1,0,1,-0.4,78,1,0
1000,2,-2,-3,0.5,78,1,0
6800,-2,3,5,0.15,78,1,0
6800,0,0,1,-0.4,78,1,0
-5000,-2,0,4,0.3,78,1,0
-3000,1,-2,-4,0,78,1,0
5000,-2,2,6,0.5,52,0,0
800,2,0,-6,-0.15,52,0,0
-9900,0,-2,-2,0.55,52,1,0
9950,0,-2,-3,-0.15,52,1,0
1950,0,3,-2,0,52,1,0
-300,1,0,-1,-0.5,52,0,0
2000,1,0,-1,0,52,1,0
5000,1,0,-3,-0.3,52,0,0
-5000,-2,1,3,-0.7,100,0,0
-5000,0,0,-3,0.5,100,1,0
300,3,0,-4,-0.3,100,0,0
4900,-3,3,2,0,100,0,0
-3000,0,2,1,-0.55,100,0,0
0,0,1,2,0,100,1,0
