datetime,ID,Vintages,Day.type,Day.number,Hour.number,Climate.zone,Demand.Power.sf.,Indoor.Temp.F.,Indoor.Humid.,Outdoor.Temp.F.,Outdoor.Humid.,Outdoor.Sky.Clearness.,Occ.Fraction.,Cooling.Setpoint.,Lighting.Power.pct.,Ventilation.pct.,MELs.pct.,Tzonei,Outdoor.Nat.Lt.,Nat.Lt.
2006-08-11 11:00:00,21,2004,1,223,5339,3A,0.0028539027081997,74.69531682742229,54.2703865253227,84.02,67.0,1.41843405114369,5.0656522919897915,24.0,0.9,1.0,0.8,75.19913986694358,56937.69425803935,923.5650373842178
2006-08-11 12:00:00,21,2004,1,223,5340,3A,0.002964710967352377,75.03532912918362,53.585174771026054,86.0,61.0,2.547553911929242,9.624739354780601,24.0,0.9,1.0,0.9,75.19877050410865,77568.50195879137,975.780810725686
2006-08-11 13:00:00,21,2004,1,223,5341,3A,0.0029767796810423416,75.15995948035003,53.34114545979614,87.08000000000001,59.0,3.17168697417402,9.624739354780601,24.0,0.9,1.0,0.9,75.19812622962603,96073.17582381243,1070.6221536356381
2006-08-11 14:00:00,21,2004,1,223,5342,3A,0.0030217381166914954,75.1929735421009,52.984139278270156,87.98,55.0,2.291895432400798,9.624739354780601,24.0,0.9,1.0,0.9,75.19799496993548,76066.89247898887,1134.0706694779303
2006-08-11 15:00:00,21,2004,1,223,5343,3A,0.003156512696830406,75.19946497427526,52.90465120590126,89.06,52.0,1.858128526250373,9.624739354780601,24.0,0.9,1.0,0.9,75.19764755736139,62391.74438614178,1181.1460644033973
2006-08-11 16:00:00,21,2004,1,223,5344,3A,0.0022955424601471416,74.52357366929692,54.2096044540932,75.92,91.0,1.516625060666692,3.0393913751938753,24.0,0.5,1.0,0.5,75.19943006441056,28254.519191578132,963.0156519537712
2006-08-11 17:00:00,21,2004,1,223,5345,3A,0.0016613883333601019,74.28973105428855,53.354198357780966,77.0,85.0,1.971023334471008,1.0131304583979583,24.0,0.3,1.0,0.4,75.19940538091802,32550.05405508843,1355.9815255599824
2006-08-11 18:00:00,21,2004,1,223,5346,3A,0.0016292710213711354,73.95408541081198,53.96018450088262,75.92,91.0,1.684755237810771,1.0131304583979583,24.0,0.3,1.0,0.4,75.19975525195858,9998.628905685417,469.28582915669415
2006-08-11 19:00:00,21,2004,1,223,5347,3A,0.001857888218200777,73.66356679883816,54.29650873846282,75.92,91.0,0.0,1.0131304583979583,24.0,0.2,1.0,0.4,75.19970330084547,0.0,0.0
2006-08-11 20:00:00,21,2004,1,223,5348,3A,0.0018601942827110322,73.46764840668612,54.277118926827534,75.92,91.0,0.0,1.0131304583979583,24.0,0.2,1.0,0.4,75.19976524582569,0.0,0.0
2006-08-11 21:00:00,21,2004,1,223,5349,3A,0.000658038658435188,76.6701067680351,52.609704516872625,75.92,94.0,0.0,0.5065652291989792,24.0,0.1,0.0,0.4,77.72078478456379,0.0,0.0
2006-08-11 22:00:00,21,2004,1,223,5350,3A,0.0008482791601711223,76.12043451742532,56.81167548053442,75.02,94.0,0.0,0.5065652291989792,24.0,0.05,0.0,0.4,77.23726247748242,0.0,0.0
2006-08-11 23:00:00,21,2004,1,223,5351,3A,0.000606292631478438,76.5441451496624,,75.02,94.0,0.0,0.0,24.0,0.05,0.0,0.4,77.42057204832493,0.0,0.0
2006-08-12 00:00:00,21,2004,1,224,5352,3A,0.000606292631478438,77.2593494131741,,73.94,97.0,0.0,0.0,24.0,0.05,0.0,0.4,78.36523358458973,0.0,0.0
2006-08-12 01:00:00,21,2004,1,224,5353,3A,0.000606292631478438,77.51255988450865,,73.94,97.0,0.0,0.0,24.0,0.05,0.0,0.4,78.59302686041481,0.0,0.0
2006-08-12 02:00:00,21,2004,1,224,5354,3A,0.000606292631478438,77.67855889239235,,73.94,94.0,0.0,0.0,24.0,0.05,0.0,0.4,78.73885932880803,0.0,0.0
2006-08-12 03:00:00,21,2004,1,224,5355,3A,0.000606292631478438,77.76657765728656,,73.94,94.0,0.0,0.0,24.0,0.05,0.0,0.4,78.83634116288032,0.0,0.0
2006-08-12 04:00:00,21,2004,1,224,5356,3A,0.0013379835479839482,74.60125624383096,,73.94,94.0,0.0,0.0,24.0,0.1,0.0,0.4,74.61315617297433,0.0,0.0
2006-08-12 05:00:00,21,2004,1,224,5357,3A,0.0017427917463969736,73.03651889076272,56.374182731294304,73.04,94.0,0.0,1.0131304583979583,24.0,0.3,0.0,0.4,75.16106510185986,0.0,0.0
2006-08-12 06:00:00,21,2004,1,224,5358,3A,0.0022643219443717814,73.3519775072471,55.3722005852936,73.94,90.0,1.031999093530658,1.0131304583979583,24.0,0.9,1.0,0.4,75.1993446191597,3218.658694516369,78.08773508323956
2006-08-12 07:00:00,21,2004,1,224,5359,3A,0.0025020603313133795,73.62796871207287,55.37079242595696,75.02,87.0,0.999999602043905,3.0393913751938753,24.0,0.9,1.0,0.9,75.19986664783112,9317.563803041952,236.51283034901738
2006-08-12 08:00:00,21,2004,1,224,5360,3A,0.00229294369289868,73.93988509640965,54.50330955512367,75.92,85.0,1.497683842510458,3.0393913751938753,24.0,0.9,1.0,0.9,75.19968877725597,34734.655640917365,1240.4058683865128
2006-08-12 09:00:00,21,2004,1,224,5361,3A,0.002349703532566736,74.02432244664807,54.069730429381224,78.98,77.0,1.192678662243393,3.0393913751938753,24.0,0.9,1.0,0.9,75.1994839736343,35625.35947383581,856.7858224992681
2006-08-12 10:00:00,21,2004,1,224,5362,3A,0.0025123085675509433,74.36115772724969,52.53997807840609,82.04,67.0,2.400851464269506,3.0393913751938753,24.0,0.9,1.0,0.9,75.19939208056229,78294.82761925456,1202.255458300973
2006-08-12 11:00:00,21,2004,1,224,5363,3A,0.0023692775967749814,74.22441863316058,52.280694845479715,82.94,63.0,1.114198402056259,1.0131304583979583,24.0,0.9,1.0,0.8,75.1994004005776,50208.53976863619,922.4098089382281
2006-08-12 12:00:00,21,2004,1,224,5364,3A,0.0024656341243816456,74.3240664489,51.256774371179866,84.02,61.0,2.294041407239232,1.0131304583979583,24.0,0.9,1.0,0.9,75.19966020358946,89982.57557290731,1136.201320452921
2006-08-12 13:00:00,21,2004,1,224,5365,3A,0.0025076239676686115,74.34368425763896,50.98763356140578,87.08000000000001,53.0,1.959891768208896,1.0131304583979583,24.0,0.9,1.0,0.9,75.19966004697095,77400.10369528725,1064.6989982184664
2006-08-12 14:00:00,21,2004,1,224,5366,3A,0.0026335305719057977,74.41058473289073,50.73419560151163,87.98,55.0,2.724745821409271,1.0131304583979583,24.0,0.9,1.0,0.9,75.19976045305957,83949.16702936418,1162.8727353554789
2006-08-12 15:00:00,21,2004,1,224,5367,3A,0.002667128934833945,74.44640804709351,50.244799550519396,89.06,50.0,2.439806667067157,1.0131304583979583,24.0,0.9,1.0,0.9,75.19971546840785,73101.79877505047,1215.282801793956
2006-08-12 16:00:00,21,2004,1,224,5368,3A,0.001998735135862167,74.27610046792286,50.41227739798848,87.98,50.0,2.284376363864865,0.5065652291989792,24.0,0.5,1.0,0.5,75.19989230012122,54342.33899753169,2101.2497860727253
2006-08-12 17:00:00,21,2004,1,224,5369,3A,0.0016164371067616983,74.4743916826381,50.62213203065249,87.98,48.0,2.539336868094436,0.5065652291989792,24.0,0.3,1.0,0.4,75.35455524783356,31811.751757124002,1415.1623711132208
2006-08-12 18:00:00,21,2004,1,224,5370,3A,0.0005121342926101436,78.03825960632633,,86.0,55.0,1.826880127796874,0.0,24.0,0.3,1.0,0.4,78.06125816666865,9966.885677668302,504.633858108824
2006-08-12 19:00:00,21,2004,1,224,5371,3A,0.0018815749020783378,72.77027781810713,,84.02,59.0,0.0,0.0,24.0,0.2,1.0,0.4,74.6252569547553,0.0,0.0
2006-08-12 20:00:00,21,2004,1,224,5372,3A,0.0007611475039258421,76.82167309011693,,82.94,63.0,0.0,0.0,24.0,0.2,1.0,0.4,77.71599686328973,0.0,0.0
2006-08-12 21:00:00,21,2004,1,224,5373,3A,0.0013794629129413776,72.32980330781854,,80.96,67.0,0.0,0.0,24.0,0.1,0.0,0.4,74.15989768185493,0.0,0.0
2006-08-12 22:00:00,21,2004,1,224,5374,3A,0.0006062926314784379,76.04659733941497,,80.06,72.0,0.0,0.0,24.0,0.05,0.0,0.4,77.35993300695027,0.0,0.0
2006-08-12 23:00:00,21,2004,1,224,5375,3A,0.0009225015586565935,75.32873956525887,,78.98,72.0,0.0,0.0,24.0,0.05,0.0,0.4,75.48877839550732,0.0,0.0
2006-08-13 00:00:00,21,2004,1,225,5376,3A,0.000606292631478438,76.4222756282341,,77.0,76.0,0.0,0.0,24.0,0.05,0.0,0.4,77.22296179215283,0.0,0.0
2006-08-13 01:00:00,21,2004,1,225,5377,3A,0.000606292631478438,77.10623745015597,,75.02,85.0,0.0,0.0,24.0,0.05,0.0,0.4,78.25636314741664,0.0,0.0
2006-08-13 02:00:00,21,2004,1,225,5378,3A,0.000606292631478438,77.27177914891443,,73.94,87.0,0.0,0.0,24.0,0.05,0.0,0.4,78.49006103513206,0.0,0.0
2006-08-13 03:00:00,21,2004,1,225,5379,3A,0.000606292631478438,77.36495032298538,,73.04,87.0,0.0,0.0,24.0,0.05,0.0,0.4,78.66901372755072,0.0,0.0
2006-08-13 04:00:00,21,2004,1,225,5380,3A,0.0006579109222942396,77.44359810209943,,73.04,87.0,0.0,0.0,24.0,0.1,0.0,0.4,78.8033952239326,0.0,0.0
2006-08-13 05:00:00,21,2004,1,225,5381,3A,0.0011331330126289122,75.7298185533708,57.97729278273041,71.96,90.0,0.0,0.5065652291989792,24.0,0.3,0.0,0.4,74.90569171751554,0.0,0.0
2006-08-13 06:00:00,21,2004,1,225,5382,3A,0.001524608178713044,74.41136452723022,57.77615459838021,73.04,90.0,3.020575806448977,0.5065652291989792,24.0,0.9,1.0,0.4,77.99534290000696,5660.486184028641,328.53893345506606
2006-08-13 07:00:00,21,2004,1,225,5383,3A,0.0016388074857134887,76.11228700060705,52.902090555066906,75.92,85.0,4.553362451654573,0.5065652291989792,24.0,0.9,1.0,0.9,75.55477693929778,25645.70214125008,1905.0897526266933
2006-08-13 08:00:00,21,2004,1,225,5384,3A,0.0019332064717188708,74.68923709357105,54.479299501662695,78.98,77.0,2.411678665756776,0.5065652291989792,24.0,0.9,1.0,0.9,78.86616167719522,44566.854190147074,1820.4731207073878
2006-08-13 09:00:00,21,2004,1,225,5385,3A,0.0015476833364099305,76.80619863499007,50.462252181130985,80.06,72.0,1.393780665197766,0.5065652291989792,24.0,0.9,1.0,0.9,75.32541238167627,52579.668285430205,1185.737643501023
2006-08-13 10:00:00,21,2004,1,225,5386,3A,0.0019907833743851512,75.3055678066213,52.53932167796398,82.04,67.0,2.897637677263856,0.5065652291989792,24.0,0.9,1.0,0.9,78.99820266597747,78258.8147225089,1056.0981044040805
2006-08-13 11:00:00,21,2004,1,225,5387,3A,0.0015074623166922954,77.363029892287,48.86138577639698,82.94,61.0,2.455180833600768,0.5065652291989792,24.0,0.9,1.0,0.8,75.31075734831025,76495.70182341029,1020.8188459430822
2006-08-13 12:00:00,21,2004,1,225,5388,3A,0.0020126461970694713,75.62005055597687,50.253081793787636,86.0,53.0,2.672104099093628,0.5065652291989792,24.0,0.9,1.0,0.9,79.20126356819769,94310.78775271846,1130.7896014591115
2006-08-13 13:00:00,21,2004,1,225,5389,3A,0.001634455749078662,77.95952627222438,46.26939423352898,87.08000000000001,50.0,3.572422156128302,0.5065652291989792,24.0,0.9,1.0,0.9,75.35745251892061,95728.7921113525,992.2830700029282
2006-08-13 14:00:00,21,2004,1,225,5390,3A,0.002077781060489925,75.97075379396144,49.24612610237039,87.08000000000001,50.0,1.572220423935976,0.5065652291989792,24.0,0.9,1.0,0.9,79.41448886109318,69218.81714462544,1188.9019733056575
2006-08-13 15:00:00,21,2004,1,225,5391,3A,0.001648683183959251,78.20390752001573,45.97897359645918,86.0,51.0,3.099527879140827,0.5065652291989792,24.0,0.9,1.0,0.9,75.37158580010538,73649.85400004001,1048.086796339577
2006-08-13 16:00:00,21,2004,1,225,5392,3A,0.0015677820850013827,75.92473123326018,49.177777706360175,87.98,48.0,3.752500555811123,0.5065652291989792,24.0,0.5,1.0,0.5,78.88485563913045,63407.22656165845,2612.1968567896583
2006-08-13 17:00:00,21,2004,1,225,5393,3A,0.0009249095296405417,77.35204326287177,,87.98,45.0,2.339317317409088,0.0,24.0,0.3,1.0,0.4,75.1894969124038,30028.25529503521,1313.5379956008298
2006-08-13 18:00:00,21,2004,1,225,5394,3A,0.001295444278245704,75.02393920099725,,86.0,50.0,2.337798890725975,0.0,24.0,0.3,1.0,0.4,78.60185890482654,10558.214011508435,624.8899263966889
2006-08-13 19:00:00,21,2004,1,225,5395,3A,0.001140047329581297,76.22967810587556,,84.91999999999999,51.0,0.0,0.0,24.0,0.2,1.0,0.4,75.06204948671767,0.0,0.0
2006-08-13 20:00:00,21,2004,1,225,5396,3A,0.0014425111254003837,74.00273878890103,,82.94,57.0,0.0,0.0,24.0,0.2,1.0,0.4,78.43825536757309,0.0,0.0
2006-08-13 21:00:00,21,2004,1,225,5397,3A,0.0009350634979385761,75.40384133107725,,82.04,47.0,0.0,0.0,24.0,0.1,0.0,0.4,74.82469828185741,0.0,0.0
2006-08-13 22:00:00,21,2004,1,225,5398,3A,0.001023537264883219,73.92832890769873,,80.06,65.0,0.0,0.0,24.0,0.05,0.0,0.4,78.10544920867802,0.0,0.0
2006-08-13 23:00:00,21,2004,1,225,5399,3A,0.0008636072002322296,74.6742939912032,,78.98,65.0,0.0,0.0,24.0,0.05,0.0,0.4,74.52549858166142,0.0,0.0
2006-08-14 00:00:00,21,2004,1,226,5400,3A,0.0007719510785255837,75.64703118813102,,77.0,71.0,0.0,0.0,24.0,0.05,0.0,0.4,77.79071186546011,0.0,0.0
2006-08-14 01:00:00,21,2004,1,226,5401,3A,0.0007756823637043022,75.9582767299203,,78.98,62.0,0.0,0.0,24.0,0.05,0.0,0.4,75.73761154306827,0.0,0.0
2006-08-14 02:00:00,21,2004,1,226,5402,3A,0.000606292631478438,77.09112600350004,,78.08,64.0,0.0,0.0,24.0,0.05,0.0,0.4,77.59392477327117,0.0,0.0
