datetime,ID,Vintages,Day.type,Day.number,Hour.number,Climate.zone,Demand.Power.sf.,Indoor.Temp.F.,Tzonei,Nat.Lt.,Base.Lt.,Indoor.Humid.,Outdoor.Temp.F.,Outdoor.Humid.,Outdoor.Sky.Clearness.,Occ.Fraction.,Cooling.Setpoint.,Lighting.Power.pct.,Ventilation.pct.,MELs.pct.
2006-01-01 01:00:00,21,2004,1,1,0,3A,32.51426124092568,65.16266126115201,65.23773554081245,0.0,0.05,,53.96,75.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-01-01 02:00:00,21,2004,1,1,0,3A,32.51426124092568,65.34597009611792,65.18373880224743,0.0,0.05,,55.04,72.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-01-01 03:00:00,21,2004,1,1,0,3A,32.51426124092568,65.40338351288318,65.14381421312395,0.0,0.05,,53.96,77.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-01-01 04:00:00,21,2004,1,1,0,3A,32.51426124092568,65.47928963381334,65.12238155661898,0.0,0.05,,53.06,83.0,0.0,0.0,24.0,0.05,0.0,0.4
2006-01-01 05:00:00,21,2004,1,1,0,3A,35.28244694079548,65.5083619429845,65.13679510161047,0.0,0.1,,53.06,83.0,0.0,0.0,24.0,0.1,0.0,0.4
2006-01-01 06:00:00,21,2004,1,1,0,3A,46.35518974027463,65.65089346557522,65.28147078587372,0.0,0.3,,51.98,90.0,0.0,0.0,24.0,0.3,0.0,0.4
2006-01-01 07:00:00,21,2004,1,1,0,3A,79.58026837247886,66.30839807764958,65.85324551858547,0.0,0.9,58.61597626561288,51.98,90.0,0.0,0.0485626992905455,24.0,0.9,1.0,0.4
2006-01-01 08:00:00,21,2004,1,1,0,3A,98.37240337022729,67.26657838626838,66.9307173797526,0.0,0.9,58.56908794053911,51.98,90.0,0.0,0.0485626992905455,24.0,0.9,1.0,0.9
2006-01-01 09:00:00,21,2004,1,1,0,3A,79.33786686513375,67.64379061593573,67.2354325454229,108.6029758902762,0.9,59.70691118033297,53.06,90.0,1.012867974808477,0.0485626992905455,24.0,0.9,1.0,0.9
2006-01-01 10:00:00,21,2004,1,1,0,3A,65.05642941784937,67.92397826538688,67.3623925403305,484.59129380748425,0.9,59.53773963494044,53.96,90.0,1.009206900551405,0.0485626992905455,24.0,0.9,1.0,0.9
